#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_trans	log_trans	comp1061_c0_seq1	-8.16449495320973	-7.13001431469415	7.51319016506342e-10	1.26185421118576e-07
ds_trans	log_trans	comp616_c0_seq1	-7.53025053524678	-6.39850315062006	1.42851415852316e-09	1.26185421118576e-07
ds_trans	log_trans	comp1038_c0_seq1	-27.3759819738505	-45.2801445399267	1.73649662089783e-09	1.26185421118576e-07
ds_trans	log_trans	comp1062_c0_seq1	-8.30924826180722	-6.84050769749917	4.33351474893039e-09	2.36176553816706e-07
ds_trans	log_trans	comp708_c0_seq1	-6.86251322188412	-5.09012158757064	2.53392415549056e-08	9.30954405171359e-07
ds_trans	log_trans	comp715_c0_seq1	-8.45288923784746	-6.5532257454187	2.56225983074686e-08	9.30954405171359e-07
ds_trans	log_trans	comp1008_c1_seq2	-27.8077710198383	-44.4165664479512	2.97358095395732e-07	9.26058068518137e-06
ds_trans	log_trans	comp980_c0_seq1	-27.8587108268479	-44.314686833932	4.65726979961044e-07	1.26910602039384e-05
ds_trans	log_trans	comp1081_c0_seq2	-27.9571477225467	-44.1178130425344	1.44560260597931e-06	3.50157075670545e-05
ds_trans	log_trans	comp1036_c0_seq1	-8.91711260733494	-5.62477900644373	4.27844093612288e-06	9.32700124074788e-05
ds_trans	log_trans	comp1001_c0_seq1	-28.0840415313526	-43.8640254249224	5.18874751827668e-06	0.000102831541725847
ds_trans	log_trans	comp889_c2_seq1	-28.2757058511284	-43.4806967853709	3.56804979318428e-05	0.000648195712428478
ds_trans	log_trans	comp1023_c0_seq1	-9.198052051139	-5.06290011883562	5.79138412377211e-05	0.000971170568447938
ds_trans	log_trans	comp710_c0_seq1	-7.35580296400296	-3.57747329166538	7.67127580995918e-05	0.00119452723326507
ds_trans	log_trans	comp604_c0_seq1	-28.3765227817132	-43.2790629242013	9.63608450846118e-05	0.00140044428189636
ds_trans	log_trans	comp722_c1_seq1	-7.7894840797139	-3.88003606168581	0.000114340178288936	0.00155788492918675
ds_trans	log_trans	comp963_c0_seq1	-9.27024700580658	-4.91851020950044	0.000125561101170857	0.00161013647383805
ds_trans	log_trans	comp1059_c0_seq1	-7.88343869652764	-3.74306820309056	0.000247830566185567	0.00300150352380298
ds_trans	log_trans	comp551_c0_seq1	-8.66449495320973	-4.13001431469415	0.000305695076875518	0.00350744877678226
ds_trans	log_trans	comp552_c0_seq1	-28.5840415313526	-42.8640254249224	0.000530404868558373	0.00566639688328485
ds_trans	log_trans	comp941_c0_seq1	-6.95595228924588	-2.90324345284713	0.000555731975696973	0.00566639688328485
ds_trans	log_trans	comp710_c1_seq1	-7.96522026496459	-3.52856369118443	0.000571838217579205	0.00566639688328485
ds_trans	log_trans	comp1026_c0_seq1	-9.49986790722161	-4.45926840667039	0.000726851116172583	0.00651476376442404
ds_trans	log_trans	comp1073_c0_seq1	-8.30924826180722	-3.67058269605686	0.00074710593628716	0.00651476376442404
ds_trans	log_trans	comp722_c0_seq1	-8.30924826180722	-3.67058269605686	0.00074710593628716	0.00651476376442404
ds_trans	log_trans	comp723_c0_seq1	-8.77024700580658	-3.91851020950044	0.000797166991154514	0.0066839386181417
ds_trans	log_trans	comp954_c2_seq1	-28.8290467565602	42.3740149745074	0.00199604498825856	0.016116215090384
ds_trans	log_trans	comp1022_c0_seq1	-8.99053330149958	4.13677222600075	0.00281198466110548	0.0208109386167132
ds_trans	log_trans	comp1032_c0_seq1	-28.8077710198383	-42.4165664479512	0.0028638906353275	0.0208109386167132
ds_trans	log_trans	comp889_c0_seq1	-28.8077710198383	-42.4165664479512	0.0028638906353275	0.0208109386167132
ds_trans	log_trans	comp954_c0_seq1	-9.01676701144664	4.08430480610661	0.00356754128733709	0.0243038750199839
ds_trans	log_trans	comp630_c0_seq1	-8.51676701144664	-3.25554519677801	0.00356754128733709	0.0243038750199839
ds_trans	log_trans	comp991_c0_seq1	-8.99053330149958	-3.47793761811446	0.00406643732561418	0.0267092260321452
ds_trans	log_trans	comp998_c1_seq1	-28.8765227817132	-42.2790629242013	0.0041656591059309	0.0267092260321452
ds_trans	log_trans	comp584_c0_seq1	-6.85047934190321	2.41688014519348	0.00598858838395824	0.037237465923123
ds_trans	log_trans	comp1040_c0_seq1	-28.9525243284357	-42.1270598307562	0.00614930629923133	0.037237465923123
ds_trans	log_trans	comp731_c1_seq1	-6.99700282935333	-2.29507356096465	0.0064474932496381	0.0379879332005704
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_trans	plat_trans	comp710_c0_seq1	-27.9825380552456	-44.0670323771365	2.45053893477523e-06	0.00047295401441162
ds_trans	plat_trans	comp1008_c1_seq3	-8.48877755079305	-5.32522486380245	9.66399242122225e-06	0.000932575268647947
ds_trans	plat_trans	comp1069_c0_seq1	-7.34268717504639	3.55251938614655	0.000112864951058952	0.00726097851812591
ds_trans	plat_trans	comp1081_c0_seq1	-28.4595059788934	-43.1130965298409	0.000217959895379251	0.0105165649520489
ds_trans	plat_trans	comp614_c0_seq1	-28.5675005559668	-42.8971073756942	0.000530404868558373	0.0204736279263532
ds_trans	plat_trans	comp609_c0_seq1	-7.3989245396756	2.91397584522055	0.0013478488169123	0.0433558036106789
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_trans	hs_trans	comp1001_c0_seq1	-28.2242519312618	-43.583604625104	7.72045524458559e-06	0.00168305924331966
ds_trans	hs_trans	comp889_c2_seq1	-28.4159162510376	-43.2002759855525	4.53238757512601e-05	0.00340983431114112
ds_trans	hs_trans	comp1036_c0_seq1	-9.10280148974832	-5.43531517163367	4.6924325382676e-05	0.00340983431114112
ds_trans	hs_trans	comp616_c0_seq1	-6.17220799703499	-3.12157647455966	7.92569869680216e-05	0.00431950578975718
ds_trans	hs_trans	comp722_c1_seq1	-7.97517296212728	-3.69057222687575	0.000180605779350561	0.00787441197968445
ds_trans	hs_trans	comp744_c1_seq1	-8.91893559749808	-3.80304695613416	0.000797166991154514	0.0289637340119474
ds_trans	hs_trans	comp1026_c0_seq1	-28.7833543737593	-42.465399740109	0.00100640923777743	0.0313424591193541
ds_trans	hs_trans	comp989_c2_seq1	-28.8274773699956	-42.3771537476366	0.00140897293288839	0.0383945124212088
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
log_trans	plat_trans	comp1061_c0_seq1	-7.41215423874497	8.7813351284311	5.86483313518864e-14	1.15537212763216e-11
log_trans	plat_trans	comp1062_c0_seq1	-7.82422932104526	7.95718496383052	1.31852504189025e-11	1.29874716626189e-09
log_trans	plat_trans	comp941_c0_seq1	-6.06399243391054	4.83380254832524	1.7085827368746e-08	1.12196933054765e-06
log_trans	plat_trans	comp630_c0_seq1	-7.49711673946613	5.44148512554648	4.37291033755704e-08	1.93858740115394e-06
log_trans	plat_trans	comp1069_c0_seq1	-27.6037329598928	44.8246425678421	5.21777744614682e-08	1.93858740115394e-06
log_trans	plat_trans	comp1038_c0_seq1	-27.6088606870456	44.8143871135365	5.90432711011353e-08	1.93858740115394e-06
log_trans	plat_trans	comp609_c0_seq1	-27.7914875274389	44.4491334327499	4.65726979961044e-07	1.31068878646179e-05
log_trans	plat_trans	comp1001_c0_seq1	-27.8524827896282	44.3271429083713	8.75701578622086e-07	2.15641513735689e-05
log_trans	plat_trans	comp1059_c0_seq1	-7.44356366188918	4.76945765717492	1.097568706634e-06	2.4024559467433e-05
log_trans	plat_trans	comp1023_c0_seq1	-8.76740093014748	6.07084174562609	1.21972719879504e-06	2.40286258162624e-05
log_trans	plat_trans	comp1081_c0_seq2	-27.9191160550599	44.1938763775078	2.04881124054979e-06	3.66923467625734e-05
log_trans	plat_trans	comp1008_c1_seq3	-8.09343927843732	-5.36586979651112	5.07387754400262e-06	8.32961563473763e-05
log_trans	plat_trans	comp731_c1_seq1	-6.30095802807675	3.83380254832524	5.87927150609813e-06	8.90935759001024e-05
log_trans	plat_trans	comp708_c0_seq1	-7.35133951654421	4.25910838305791	9.39194889826143e-06	0.000132158138068393
log_trans	plat_trans	comp704_c1_seq1	-7.39891813306438	4.16395115001757	1.51410107388366e-05	0.00019885194103672
log_trans	plat_trans	comp616_c0_seq1	-8.3859205287979	4.83380254832524	3.23096056900313e-05	0.00039781202005851
log_trans	plat_trans	comp1032_c0_seq1	-28.2352501628097	43.5616081620083	4.53238757512601e-05	0.000486531163178272
log_trans	plat_trans	comp724_c1_seq1	-28.2352501628097	43.5616081620083	4.53238757512601e-05	0.000486531163178272
log_trans	plat_trans	comp614_c0_seq1	-28.0875099284998	-43.8570886306281	4.6924325382676e-05	0.000486531163178272
log_trans	plat_trans	comp731_c0_seq1	-28.3524827896282	43.3271429083713	0.000125561101170857	0.00123677684653294
log_trans	plat_trans	comp715_c0_seq1	-9.33615269202244	4.93333822187615	0.000290613193839001	0.00272622853268016
log_trans	plat_trans	comp676_c0_seq1	-9.3859205287979	4.83380254832524	0.00039082463999038	0.00349965700355023
log_trans	plat_trans	comp505_c0_seq1	-28.5459943511828	42.9401197852621	0.000726851116172583	0.00622563782113039
log_trans	plat_trans	comp904_c1_seq1	-28.6037329598928	42.8246425678421	0.00100640923777743	0.00826094249342304
log_trans	plat_trans	comp986_c0_seq1	-28.6664984009347	42.6991116857583	0.00140897293288839	0.00964284577098556
log_trans	plat_trans	comp1036_c0_seq1	-9.55988218050806	4.48587924490493	0.00140897293288839	0.00964284577098556
log_trans	plat_trans	comp770_c0_seq1	-9.55988218050806	4.48587924490493	0.00140897293288839	0.00964284577098556
log_trans	plat_trans	comp687_c0_seq1	-9.55988218050806	4.48587924490493	0.00140897293288839	0.00964284577098556
log_trans	plat_trans	comp704_c3_seq1	-8.37315298274433	3.68941263899006	0.00141950521501818	0.00964284577098556
log_trans	plat_trans	comp628_c0_seq1	-8.20463548910555	3.19637262770995	0.00177410599369218	0.011649962691912
log_trans	plat_trans	comp687_c2_seq1	-8.8859205287979	3.83380254832524	0.00229484211686659	0.0145833515168619
log_trans	plat_trans	comp933_c0_seq1	-28.7352501628097	42.5616081620083	0.0028638906353275	0.0176308267237349
log_trans	plat_trans	comp889_c2_seq1	-28.8112517095322	42.4096050685633	0.0041656591059309	0.0227954123296774
log_trans	plat_trans	comp1008_c1_seq2	-28.8112517095322	42.4096050685633	0.0041656591059309	0.0227954123296774
